id,question,A,B,C,D,answer
0,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我现在欠款压力太大了，能重新分期吗,确认还款,重新分期,答应转告,消除征信,B
1,根据给定的文本和意图标签，选择符合对话表述的标签。文本：第三方的欠款让我自顾不暇，没法考虑你们的贷款,答应转告,欠三方钱未还,逾期金额,还款受阻,B
2,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我这一堆欠款没清，消费贷不合适。,拒绝转告,不配合提供联系方式,共债,消除征信,C
3,根据给定的文本和意图标签，选择符合对话表述的标签。文本：咨询申请后不使用，会产生费用么,表示综合评分不足,表示额度太低,询问申请费用问题,抱怨,C
4,根据给定的文本和意图标签，选择符合对话表述的标签。文本：你们怎么拿到我这个电话的，合法吗,欠三方钱未还,不配合提供联系方式,质疑号码来源,否认借款,C
5,根据给定的文本和意图标签，选择符合对话表述的标签。文本：分期期数这么少，我没办法正常还款啊,优惠力度小,投诉,表示分期太短,询问还款时间,C
6,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我根本不需要贷款，别再找我,拖延还款,询问目的,修改还款日,否认借款,D
7,根据给定的文本和意图标签，选择符合对话表述的标签。文本：必须给我消除征信记录，不然没法旅游,还款受阻,拖延还款,提供新联系方式,消除征信,D
8,根据给定的文本和意图标签，选择符合对话表述的标签。文本：我还款都很积极，提提额度好不好,询问利率,询问怎么提额,是否影响房贷车贷,表示综合评分不足,B
9,根据给定的文本和意图标签，选择符合对话表述的标签。文本：这样的优惠，距离划算差得太远。,表示分期太短,优惠力度小,询问怎么提额,咨询客服电话,B
10,根据给定的文本和意图标签，选择符合对话表述的标签。文本：能不能优惠点金额，我入不敷出了。,询问还款渠道,逾期金额,不认识,息费减免,D
11,根据给定的文本和意图标签，选择符合对话表述的标签。文本：能有优惠活动降低逾期费吗，我太难了。,询问是否有优惠活动,表示额度太低,是否影响房贷车贷,询问还款渠道,A
