id,question,answer
0,请用【关心客户】语气改写下面句子，保持语义不变：刚才查看了一下，您的贷款情况比较复杂，需要详细方案。,我刚才审查了您的贷款状况，发现情况较为复杂，需要制定详细的还款计划。
1,请用【热情】语气改写下面句子，保持语义不变：那您可以先看一下页面的提示内容，是因为券过期了吗？还是说额度已经用完了。如果都没有，可以重启手机重新操作试一下。如果还是用不了，可以联系我们客服热线，{hotline}，咨询一下，好吧？,那您是否已经详细检查了页面的提示信息，可能是因为优惠券已经过期，或者是额度已经被使用完了呢？如果两者都不存在，您可以试着重启手机再次尝试。如果仍然存在问题，您可以拨打我们的客服热线，{hotline}，进行咨询，怎么样？
2,请用【热心】语气改写下面句子，保持语义不变：其实我们的额度也是会根据您的使用情况和信用情况进行评估的。若您多使用，提额有机会更快一些的。,实际上，我们的信用额度是根据您的使用频率和信用状况来调整的。如果您更频繁地使用，提高额度的机会可能会更快一些。
3,请用【友善】语气改写下面句子，保持语义不变：这个的话，一般情况下会有合约的赔偿。,通常来说，你可能需要支付合同规定的违约金。
4,请用【概括】语气改写下面句子，保持语义不变：我们确实会考虑申请人的当前情况，但也需要综合考虑以往的记录。,我们会充分考虑借款人的现状，但同时也会对其过去的信用历史进行全面评估。
5,"请用【温柔】语气改写下面句子，保持语义不变：如果觉得满意，今后也可以多多使用,如果后续还有活动也会再通知到您的,您可以持续关注一下哦,还有什么其他的问题想问的吗。",如果您对我们的服务感到满意，欢迎您在未来继续选择我们。我们会定期举办各种活动，届时也会及时通知您，希望您能持续关注我们。如果您有任何其他问题需要咨询，我们随时为您提供服务哦。
6,请用【关心客户】语气改写下面句子，保持语义不变：需要我把借款路径跟您说明一下吗。,需要我详细解释一下还款流程给您吗？
7,请用【简略】语气改写下面句子，保持语义不变：抱歉说漏嘴了，如未成年借款相关的问题，我们会直接与法定代理人联系。,抱歉失言了，若涉及未成年人的借款问题，我们将直接向其法定代理人沟通。
8,"请用【概括】语气改写下面句子，保持语义不变：是这样的，您的这笔额度是可以直接提现使用的。而且我们在{leadChannel}还给您特意申请了一张{couponName}，只需您还款时勾选上这张券，就能帮您节省利息呢， 因为优惠券有效期比较短， 建议您等下就到{leadChannel}操作申请一下， 尽快把优惠用起来,您看好吧！",就这样，您的这部分额度可以直接提现。同时，我们在{leadChannel}专门为您申请了一张{couponName}。在您还款时只需选择这张优惠券，就能为您节省利息。由于优惠券的有效期较短，建议您尽快在{leadChannel}申请并使用这个优惠，您觉得如何呢？
9,请用【倾听客户诉求】语气改写下面句子，保持语义不变：您可以稍后在{bank}APP中查看这张{couponName}，看看是否符合您的需求。,您可以在方便的时候，在{bank}的手机应用中查阅这张{couponName}，看看是否满足您的需求。
