id,question,A,B,answer
0,对于主题：投资理财，判断下面两个文本是否属于该主题。文本1：使用定期存款可以获得更高的利息收益 文本2：购买理财产品可以有效分散风险,是,否,B
1,对于主题：查询交易记录，判断下面两个文本是否属于该主题。文本1：我需要查询最近一个月的交易记录 文本2：请帮我查一下过去三个月的交易明细,是,否,A
2,对于主题：投资组合管理，判断下面两个文本是否属于该主题。文本1：根据历史数据和风险偏好，优化和调整投资组合的资产配置，以实现收益最大化。 文本2：投资组合管理是一个复杂的过程，需要考虑多个因素，如市场风险、资产收益和投资者的目标。,是,否,B
3,对于主题：股票投资，判断下面两个文本是否属于该主题。文本1：我买入了苹果公司的股票 文本2：我购买了苹果股票,是,否,A
4,对于主题：金融理财，判断下面两个文本是否属于该主题。文本1：通过投资基金可以获得长期稳定的收益 文本2：要注意投资风险，选择合适的理财产品,是,否,B
5,对于主题：投资理财，判断下面两个文本是否属于该主题。文本1：选择合适的投资方式，可以实现财富的增值 文本2：了解市场走势，做出明智的投资决策,是,否,B
6,对于主题：股票买卖，判断下面两个文本是否属于该主题。文本1：我想买入一只蓝筹股 文本2：最近有哪些优质股票可以投资？,是,否,B
7,对于主题：股票交易，判断下面两个文本是否属于该主题。文本1：我买了一只股票，希望能赚点钱。 文本2：你觉得现在是买入股票的好时机吗?,是,否,A
8,对于主题：投资策略，判断下面两个文本是否属于该主题。文本1：根据市场行情波动，制定合理的投资方案 文本2：短期内的投资风险较大，需谨慎考虑,是,否,B
9,对于主题：投资理财，判断下面两个文本是否属于该主题。文本1：根据历史数据，股市投资可能带来高回报率 文本2：通过定期存款，可以在银行获得稳定的利息收益,是,否,B
10,对于主题：投资理财，判断下面两个文本是否属于该主题。文本1：在当前市场环境下，选择适合自己的投资理财产品至关重要。 文本2：财富增值的有效途径之一是通过投资理财获得额外收益。,是,否,B
11,对于主题：利率变动，判断下面两个文本是否属于该主题。文本1：最近的利率变动对我的投资产生了影响。 文本2：请问最近有没有利率变动的消息？,是,否,A
12,对于主题：风险投资，判断下面两个文本是否属于该主题。文本1：投资有风险，入市需谨慎。 文本2：选择合适的投资项目可以获得高回报。,是,否,B
13,对于主题：债券市场，判断下面两个文本是否属于该主题。文本1：公司发行的债券期限为五年，利率为6% 文本2：从市场波动角度看，债券投资风险相对较低,是,否,B
14,对于主题：利率计算，判断下面两个文本是否属于该主题。文本1：按照当前利率计算，您的贷款利息为5000元。 文本2：请提供您贷款的金额和利率，我可以帮您计算贷款的利息。,是,否,B
15,对于主题：房地产投资，判断下面两个文本是否属于该主题。文本1：我打算购买一套在市中心的公寓作为投资物业 文本2：我正考虑投资一些商业地产项目,是,否,A
